tiempo_total_min,minutos_retraso,dist_asignacion_km,dist_entrega_km,tiempo_espera_rest_min,cumple_sla,franja_horaria,es_hora_pico,valor_pedido_soles
22.8,0.0,1.2,2.17,14.6,1,mañana,0,32.17
22.3,0.0,1.45,1.655,11.8,1,tarde,1,94.52
19.2,0.0,2.698,2.397,0.7,1,tarde,1,15.1
26.7,0.0,3.158,2.144,5.1,1,tarde,1,65.33
14.7,0.0,1.136,2.829,7.8,1,noche,0,35.29
25.5,0.0,1.267,1.548,16.6,1,noche,0,39.17
22.0,0.0,0.554,2.132,15.2,1,noche,0,75.07
12.3,0.0,0.588,1.097,6.6,1,noche,0,37.92
19.8,0.0,0.951,2.893,13.9,1,mañana,0,35.67
15.8,0.0,1.455,2.864,5.6,1,mañana,0,48.09
12.6,0.0,0.45,2.261,7.9,1,mañana,0,32.36
8.8,0.0,0.999,0.682,8.2,1,tarde,0,29.63
18.0,0.0,0.51,1.032,12.3,1,tarde,0,22.13
9.0,0.0,1.367,1.445,3.2,1,tarde,0,89.49
24.9,0.0,1.886,1.097,18.2,1,tarde,1,53.84
25.6,0.0,3.648,3.169,4.1,1,tarde,1,62.86
23.4,0.0,2.953,1.011,10.8,1,tarde,1,31.7
24.7,0.0,3.361,1.304,12.1,1,tarde,1,40.65
30.7,0.7,2.593,2.01,11.3,0,tarde,1,70.72
14.0,0.0,1.718,1.253,4.0,1,tarde,1,54.38
22.8,0.0,2.246,1.89,8.4,1,tarde,1,65.99
22.7,0.0,1.997,1.246,13.2,1,tarde,1,85.33
19.0,0.0,2.68,2.804,0.0,1,tarde,1,45.81
25.3,0.0,1.978,1.494,15.6,1,tarde,1,83.35
12.2,0.0,1.095,1.812,2.5,1,mañana,0,39.38
14.6,0.0,1.699,2.028,8.0,1,mañana,0,18.91
14.7,0.0,1.916,1.502,9.3,1,tarde,0,20.71
20.6,0.0,0.941,2.062,14.9,1,tarde,0,56.63
7.2,0.0,0.364,2.084,3.4,1,noche,0,62.82
18.2,0.0,0.143,1.852,13.4,1,noche,0,58.42
21.1,0.0,1.276,2.039,12.5,1,noche,0,76.49
18.5,0.0,1.876,1.395,12.6,1,noche,0,68.99
17.8,0.0,0.736,1.372,12.5,1,tarde,0,64.79
24.5,0.0,1.219,1.208,18.0,1,tarde,1,72.91
14.1,0.0,1.389,2.219,7.6,1,mañana,0,90.98
16.1,0.0,1.211,2.038,7.8,1,noche,0,54.96
25.1,0.0,0.376,1.572,23.6,1,tarde,1,37.54
24.2,0.0,2.446,2.468,7.1,1,tarde,1,62.11
24.1,0.0,1.069,2.061,17.4,1,mañana,0,16.37
16.7,0.0,0.627,2.645,8.0,1,mañana,0,67.1
13.9,0.0,0.97,0.713,10.8,1,noche,0,70.86
14.6,0.0,1.013,1.627,10.9,1,noche,0,60.17
15.3,0.0,1.15,2.571,7.8,1,noche,0,89.9
14.4,0.0,0.482,2.163,9.6,1,noche,0,18.56
21.9,0.0,0.925,2.202,16.2,1,tarde,0,58.99
7.2,0.0,1.651,0.973,6.3,1,tarde,0,19.97
17.8,0.0,1.109,2.47,8.9,1,tarde,0,67.98
34.6,4.6,3.252,0.976,21.2,0,tarde,1,57.72
34.1,4.1,1.089,2.662,21.8,0,tarde,1,83.65
12.4,0.0,1.675,1.639,10.0,1,tarde,0,85.62
12.0,0.0,1.604,2.109,9.1,1,tarde,0,33.98
17.1,0.0,0.397,2.974,12.1,1,mañana,0,29.16
18.0,0.0,1.474,2.825,11.0,1,mañana,0,43.87
23.3,0.0,2.007,3.256,5.3,1,tarde,1,22.93
23.8,0.0,2.805,2.362,8.9,1,tarde,1,26.94
19.6,0.0,0.317,1.789,11.2,1,tarde,0,71.03
18.7,0.0,0.679,2.462,9.8,1,tarde,0,56.51
17.1,0.0,1.453,2.273,8.5,1,tarde,0,75.74
15.3,0.0,0.646,2.443,12.4,1,tarde,0,22.59
13.7,0.0,0.507,0.907,8.9,1,noche,0,67.34
10.1,0.0,1.282,0.924,6.7,1,noche,0,33.09
12.1,0.0,1.495,0.67,9.3,1,noche,0,52.41
8.8,0.0,1.176,0.872,2.2,1,noche,0,43.89
9.0,0.0,0.19,0.491,7.7,1,mañana,0,48.52
10.8,0.0,1.382,0.462,6.1,1,mañana,0,33.17
10.5,0.0,0.451,2.644,4.9,1,noche,0,80.76
15.3,0.0,1.31,2.35,6.3,1,noche,0,86.79
14.5,0.0,1.235,2.134,8.1,1,noche,0,38.31
11.7,0.0,0.789,1.334,8.6,1,noche,0,85.5
25.0,0.0,2.428,1.697,11.3,1,tarde,1,42.47
33.1,3.1,1.098,2.14,19.5,0,tarde,1,71.81
21.6,0.0,1.494,1.029,15.0,1,tarde,0,76.19
19.4,0.0,0.824,2.401,12.8,1,mañana,0,69.88
12.4,0.0,1.138,2.46,5.0,1,mañana,0,29.15
17.9,0.0,1.23,2.49,12.1,1,tarde,0,34.4
17.7,0.0,0.709,2.442,8.9,1,noche,0,38.2
17.8,0.0,1.224,2.362,9.6,1,noche,0,56.68
17.4,0.0,1.795,1.06,7.4,1,noche,0,62.58
14.2,0.0,1.438,1.831,7.1,1,mañana,0,46.74
23.6,0.0,1.561,2.171,14.6,1,mañana,0,83.26
20.0,0.0,1.661,2.421,11.5,1,mañana,0,52.56
9.3,0.0,0.88,2.326,6.7,1,mañana,0,34.63
16.1,0.0,1.454,1.998,8.5,1,noche,0,59.5
7.7,0.0,0.768,1.596,3.2,1,noche,0,59.27
16.1,0.0,1.497,2.669,10.6,1,noche,0,47.26
13.8,0.0,1.336,1.88,7.0,1,noche,0,86.81
33.2,3.2,4.0,1.241,13.2,0,tarde,1,86.78
26.5,0.0,1.008,0.413,18.6,1,tarde,1,83.27
30.8,0.8,0.18,1.152,30.2,0,tarde,1,38.78
26.7,0.0,3.553,2.133,9.0,1,tarde,1,71.89
23.8,0.0,2.488,2.655,4.2,1,noche,1,40.89
20.4,0.0,2.31,1.101,11.4,1,noche,1,27.85
37.0,7.0,2.618,2.946,17.0,0,noche,1,69.21
14.7,0.0,1.675,2.049,5.8,1,mañana,0,66.8
9.9,0.0,1.336,2.348,2.7,1,mañana,0,76.89
11.4,0.0,1.313,1.429,7.8,1,mañana,0,49.97
17.2,0.0,0.673,2.1,8.9,1,mañana,0,30.59
13.5,0.0,1.386,0.928,10.9,1,mañana,0,92.53
30.7,0.7,1.129,2.747,15.8,0,tarde,1,19.51
39.8,9.8,3.689,2.411,16.0,0,tarde,1,92.59
28.2,0.0,1.947,1.846,12.3,1,tarde,1,61.41
13.5,0.0,0.172,1.476,11.4,1,noche,0,39.42
5.5,0.0,0.634,1.748,0.6,1,noche,0,21.25
25.2,0.0,3.293,0.054,13.7,1,noche,1,19.18
22.2,0.0,2.467,0.975,9.3,1,noche,1,74.47
24.1,0.0,3.412,2.623,4.7,1,noche,1,52.17
34.6,4.6,2.338,2.561,16.7,0,tarde,1,31.25
24.6,0.0,3.664,2.743,3.0,1,tarde,1,52.02
28.3,0.0,2.868,1.693,13.0,1,tarde,1,61.14
12.4,0.0,1.672,0.414,7.1,1,mañana,0,63.07
21.1,0.0,0.981,2.122,13.3,1,mañana,0,63.59
18.4,0.0,1.146,1.588,12.0,1,mañana,0,30.7
23.5,0.0,1.008,2.476,16.2,1,mañana,0,90.9
12.7,0.0,0.779,2.112,6.5,1,mañana,0,79.97
7.3,0.0,0.874,1.133,3.7,1,mañana,0,74.54
27.8,0.0,2.342,1.789,15.8,1,noche,1,50.42
23.1,0.0,2.818,2.069,7.2,1,noche,1,85.58
21.3,0.0,2.449,1.382,10.1,1,noche,1,68.32
9.3,0.0,1.306,1.71,7.0,1,mañana,0,49.4
11.9,0.0,1.408,3.206,3.7,1,noche,0,16.36
6.4,0.0,1.385,1.335,1.4,1,noche,0,74.98
23.2,0.0,1.25,0.466,18.3,1,tarde,1,38.8
33.1,3.1,2.73,2.668,14.6,0,tarde,1,60.1
17.9,0.0,0.309,1.872,17.3,1,mañana,0,71.8
13.3,0.0,1.49,2.593,4.3,1,mañana,0,66.88
5.0,0.0,1.673,1.809,1.0,1,mañana,0,82.09
20.4,0.0,2.537,2.062,6.5,1,noche,1,88.27
31.9,1.9,3.197,1.884,13.9,0,noche,1,48.7
24.3,0.0,2.716,2.181,5.6,1,noche,1,35.49
18.0,0.0,1.545,2.437,10.2,1,tarde,0,37.01
13.9,0.0,0.794,3.095,5.6,1,tarde,0,18.76
21.5,0.0,2.601,1.99,8.3,1,tarde,1,58.08
20.0,0.0,1.783,3.115,6.5,1,tarde,1,62.49
16.7,0.0,1.897,1.747,7.7,1,noche,1,34.89
23.2,0.0,2.352,0.528,14.2,1,noche,1,21.23
9.8,0.0,1.538,1.466,2.6,1,noche,0,41.25
7.9,0.0,2.063,1.569,0.0,1,noche,0,82.09
29.2,0.0,2.929,2.139,14.0,1,tarde,1,54.7
19.6,0.0,2.775,0.04,12.9,1,tarde,1,56.87
10.8,0.0,2.001,1.745,4.7,1,mañana,0,83.86
17.9,0.0,1.046,2.718,8.4,1,mañana,0,18.41
15.9,0.0,1.685,1.773,10.6,1,noche,0,29.17
37.8,7.8,2.188,2.866,20.9,0,tarde,1,65.77
18.5,0.0,2.823,1.17,6.9,1,tarde,1,27.89
21.2,0.0,0.741,3.29,14.2,1,tarde,0,15.66
14.0,0.0,1.051,0.829,7.1,1,tarde,0,78.47
16.9,0.0,1.52,2.196,7.9,1,noche,0,75.4
6.4,0.0,0.775,1.243,1.9,1,mañana,0,91.87
17.3,0.0,1.586,3.014,9.7,1,mañana,0,64.71
14.1,0.0,1.16,1.825,2.9,1,noche,0,91.79
23.7,0.0,2.277,2.517,9.6,1,noche,1,55.58
21.0,0.0,3.323,2.146,7.6,1,noche,1,52.76
12.1,0.0,1.61,1.412,5.6,1,noche,0,63.4
16.1,0.0,1.471,2.809,6.8,1,noche,0,28.35
15.4,0.0,1.343,3.085,5.5,1,mañana,0,16.57
12.7,0.0,1.426,2.489,4.3,1,mañana,0,86.59
6.6,0.0,1.463,1.731,1.5,1,mañana,0,72.07
15.5,0.0,1.219,1.7,7.2,1,noche,0,66.46
10.0,0.0,1.104,0.58,6.5,1,noche,0,41.52
21.8,0.0,2.908,2.746,5.7,1,tarde,1,74.55
21.6,0.0,2.79,2.099,7.0,1,tarde,1,87.06
37.8,7.8,2.78,3.212,17.6,0,tarde,1,60.97
13.3,0.0,1.574,0.987,6.9,1,mañana,0,86.21
18.6,0.0,1.207,2.357,9.9,1,noche,0,15.96
19.6,0.0,1.838,2.686,7.5,1,tarde,0,79.21
13.4,0.0,0.86,2.07,8.6,1,noche,0,31.34
17.6,0.0,0.48,1.614,9.8,1,noche,0,64.02
20.0,0.0,1.25,1.836,14.0,1,tarde,0,37.35
23.3,0.0,1.349,2.33,15.8,1,noche,0,19.3
15.2,0.0,1.384,1.82,10.3,1,noche,0,20.09
19.6,0.0,1.274,2.116,7.5,1,tarde,0,90.84
18.2,0.0,1.683,2.519,7.0,1,tarde,0,91.86
18.2,0.0,1.357,2.344,4.8,1,noche,1,93.14
19.6,0.0,2.818,1.816,4.7,1,noche,1,83.96
20.9,0.0,0.821,2.293,10.1,1,tarde,1,90.39
29.2,0.0,3.423,2.542,12.5,1,tarde,1,93.33
24.3,0.0,2.081,2.436,8.1,1,tarde,1,92.88
12.1,0.0,1.307,2.636,2.1,1,tarde,0,91.05
15.0,0.0,1.445,2.526,8.6,1,tarde,0,76.42
12.9,0.0,0.673,1.688,13.7,1,tarde,0,87.01
16.5,0.0,1.433,2.126,12.0,1,mañana,0,76.87
15.7,0.0,1.712,0.844,7.9,1,mañana,0,95.0
10.3,0.0,1.394,2.758,2.5,1,mañana,0,36.36
7.7,0.0,1.57,2.367,1.3,1,tarde,0,22.74
13.5,0.0,0.274,1.759,8.3,1,tarde,0,54.23
9.2,0.0,1.222,2.104,3.1,1,noche,0,79.39
15.7,0.0,1.036,2.605,10.1,1,noche,0,50.72
14.1,0.0,1.722,2.084,6.4,1,noche,0,76.19
11.7,0.0,1.32,1.228,4.5,1,noche,0,66.52
19.7,0.0,1.228,2.266,15.6,1,noche,0,28.07
12.7,0.0,1.583,1.236,8.8,1,noche,0,90.48
13.0,0.0,1.337,1.169,9.8,1,noche,0,48.01
27.8,0.0,2.338,2.267,14.4,1,tarde,1,26.94
28.4,0.0,2.292,2.66,9.9,1,tarde,1,51.77
29.9,0.0,1.482,2.114,16.4,1,tarde,1,62.27
14.5,0.0,1.176,2.427,8.1,1,noche,0,58.92
10.2,0.0,1.486,1.609,7.8,1,noche,0,60.61
16.5,0.0,1.616,2.546,7.1,1,noche,0,37.4
9.7,0.0,1.639,2.485,1.1,1,noche,0,28.83
17.2,0.0,1.061,2.566,11.5,1,noche,0,41.05
28.0,0.0,3.462,2.173,8.6,1,tarde,1,29.06
15.5,0.0,1.854,2.982,6.0,1,tarde,0,91.46
14.8,0.0,1.306,2.026,5.9,1,tarde,0,84.58
14.7,0.0,1.541,1.856,6.2,1,noche,0,83.17
11.0,0.0,1.908,1.223,7.2,1,noche,0,36.15
35.3,5.3,2.92,1.266,22.7,0,tarde,1,42.98
22.7,0.0,1.632,1.775,14.3,1,noche,0,46.54
23.6,0.0,1.582,1.545,15.1,1,noche,0,45.65
17.1,0.0,0.696,1.227,9.3,1,noche,0,64.71
15.4,0.0,0.731,2.05,9.2,1,noche,0,84.19
17.1,0.0,1.267,0.632,15.9,1,tarde,0,66.13
15.9,0.0,1.337,3.408,8.2,1,tarde,0,90.83
16.1,0.0,1.087,2.44,9.7,1,mañana,0,19.29
12.2,0.0,0.947,2.692,3.1,1,mañana,0,71.23
15.4,0.0,1.692,1.06,12.1,1,tarde,0,28.09
10.9,0.0,1.396,1.171,7.9,1,tarde,0,87.55
14.3,0.0,0.814,1.901,9.5,1,tarde,0,59.03
7.2,0.0,1.093,1.254,3.4,1,tarde,0,55.22
16.9,0.0,1.11,2.423,6.0,1,noche,0,94.44
14.3,0.0,1.321,2.57,7.6,1,noche,0,94.41
24.7,0.0,1.462,1.849,13.1,1,tarde,1,19.08
13.4,0.0,1.175,2.157,6.6,1,tarde,0,23.4
9.3,0.0,1.326,1.183,3.7,1,tarde,0,22.3
30.2,0.2,3.628,2.331,6.0,0,noche,1,24.34
10.5,0.0,0.287,0.869,9.5,1,mañana,0,75.84
14.6,0.0,1.333,2.054,9.4,1,mañana,0,50.49
12.2,0.0,0.974,1.131,8.3,1,noche,0,84.39
13.2,0.0,1.242,2.814,6.7,1,noche,0,48.79
16.9,0.0,1.338,2.343,8.5,1,mañana,0,55.96
17.4,0.0,1.172,2.55,9.6,1,noche,0,58.92
12.6,0.0,1.381,1.71,13.1,1,noche,0,38.16
13.4,0.0,1.223,2.376,7.2,1,mañana,0,24.72
6.5,0.0,0.699,1.58,1.5,1,mañana,0,18.37
14.6,0.0,1.322,2.547,9.7,1,mañana,0,49.62
19.9,0.0,1.032,1.454,14.5,1,noche,0,43.52
18.9,0.0,0.657,2.31,11.6,1,noche,0,83.05
24.5,0.0,3.218,1.394,7.6,1,tarde,1,26.62
30.7,0.7,2.902,2.031,13.5,0,tarde,1,76.6
14.8,0.0,0.938,3.276,9.1,1,mañana,0,27.52
11.0,0.0,1.255,2.668,2.4,1,mañana,0,69.62
16.5,0.0,1.123,2.038,5.7,1,noche,0,63.05
10.5,0.0,0.801,1.714,6.0,1,noche,0,63.21
9.9,0.0,0.095,1.456,7.5,1,noche,0,53.53
12.3,0.0,1.797,2.148,7.8,1,mañana,0,94.13
20.4,0.0,2.7,1.011,9.7,1,noche,1,37.09
11.0,0.0,0.81,1.795,7.9,1,noche,0,94.26
13.0,0.0,1.365,2.926,5.4,1,mañana,0,36.09
24.2,0.0,1.527,2.773,14.8,1,mañana,0,73.49
16.4,0.0,0.484,0.955,12.7,1,mañana,0,45.38
18.1,0.0,1.489,1.659,12.0,1,mañana,0,22.67
14.7,0.0,0.657,1.421,9.2,1,noche,0,29.86
16.2,0.0,0.517,1.576,13.8,1,mañana,0,57.25
12.3,0.0,0.877,1.72,8.2,1,mañana,0,30.8
26.5,0.0,3.545,0.434,13.1,1,tarde,1,31.55
31.7,1.7,3.497,2.38,12.5,0,tarde,1,41.85
30.9,0.9,1.263,3.18,18.7,0,tarde,1,74.28
17.9,0.0,1.532,0.64,13.0,1,mañana,0,81.87
16.6,0.0,0.271,2.781,9.4,1,mañana,0,49.09
11.4,0.0,1.675,1.638,8.9,1,mañana,0,93.09
18.5,0.0,0.895,3.259,11.0,1,noche,0,41.77
16.9,0.0,1.026,2.28,11.0,1,mañana,0,62.69
12.4,0.0,1.107,2.466,5.1,1,mañana,0,87.76
8.5,0.0,0.354,0.316,7.9,1,mañana,0,24.4
17.7,0.0,1.546,1.268,10.7,1,tarde,1,54.98
29.7,0.0,1.451,2.625,16.0,1,tarde,1,53.61
16.2,0.0,1.084,2.215,8.3,1,tarde,0,74.97
10.6,0.0,1.138,0.724,6.3,1,noche,0,44.68
30.5,0.5,3.08,2.185,11.9,0,noche,1,17.59
17.8,0.0,1.99,2.071,8.2,1,noche,1,88.73
29.5,0.0,3.892,2.886,8.5,1,noche,1,52.95
18.5,0.0,1.287,2.436,9.8,1,noche,0,29.68
9.1,0.0,1.105,1.42,6.4,1,noche,0,17.6
11.5,0.0,1.435,0.606,10.2,1,noche,0,50.1
11.6,0.0,2.007,0.849,5.4,1,noche,0,90.46
16.3,0.0,1.194,2.45,6.2,1,tarde,0,63.38
17.9,0.0,0.574,2.68,14.2,1,tarde,0,40.35
11.2,0.0,1.432,1.739,5.9,1,mañana,0,80.37
31.3,1.3,0.809,3.058,18.4,0,noche,1,82.72
13.9,0.0,2.674,1.709,0.0,1,noche,1,87.33
25.3,0.0,1.868,2.999,9.3,1,noche,1,77.46
17.7,0.0,0.674,2.114,10.7,1,tarde,0,91.59
20.3,0.0,1.15,1.845,13.8,1,tarde,0,39.51
27.6,0.0,3.026,1.71,9.1,1,noche,1,42.01
29.6,0.0,1.843,0.567,20.6,1,noche,1,76.7
13.1,0.0,0.952,1.871,7.4,1,noche,0,38.56
18.4,0.0,1.159,0.339,11.0,1,noche,0,72.2
5.2,0.0,0.966,1.845,3.8,1,noche,0,72.01
5.0,0.0,1.436,2.392,5.6,1,noche,0,25.11
12.8,0.0,1.457,0.736,10.7,1,noche,0,56.34
28.0,0.0,3.128,1.364,11.9,1,noche,1,47.12
16.8,0.0,3.035,1.385,6.6,1,noche,1,54.98
28.3,0.0,0.044,1.157,25.0,1,noche,1,49.45
23.5,0.0,0.524,0.3,22.2,1,noche,1,85.49
26.1,0.0,2.307,2.201,9.8,1,noche,1,72.33
9.6,0.0,1.071,2.114,5.5,1,noche,0,60.31
11.1,0.0,1.328,1.741,6.4,1,noche,0,65.07
16.0,0.0,0.973,1.03,12.2,1,mañana,0,91.06
17.6,0.0,0.547,2.738,9.9,1,noche,0,43.31
36.0,6.0,2.977,2.385,17.2,0,noche,1,56.39
18.6,0.0,0.782,2.093,10.5,1,noche,0,80.49
16.7,0.0,0.915,2.585,7.4,1,noche,0,49.51
12.8,0.0,0.727,1.586,9.2,1,noche,0,32.49
5.5,0.0,1.367,0.916,3.4,1,noche,0,32.48
18.6,0.0,1.372,2.423,7.6,1,noche,0,52.38
8.5,0.0,1.332,1.558,0.8,1,mañana,0,74.11
14.6,0.0,1.006,2.179,7.2,1,mañana,0,25.81
17.2,0.0,1.287,2.354,8.2,1,mañana,0,57.66
5.3,0.0,0.908,2.048,2.3,1,mañana,0,52.25
9.1,0.0,1.454,1.426,2.8,1,mañana,0,35.1
20.1,0.0,0.221,2.015,11.6,1,mañana,0,34.65
18.8,0.0,1.737,2.631,9.5,1,mañana,0,18.18
12.3,0.0,0.137,1.615,9.4,1,mañana,0,53.28
26.1,0.0,3.287,0.529,13.6,1,noche,1,20.99
16.7,0.0,1.668,2.268,5.9,1,noche,0,19.39
5.9,0.0,0.234,1.797,3.1,1,noche,0,16.88
14.9,0.0,0.887,2.488,6.2,1,mañana,0,48.89
13.1,0.0,1.748,2.468,6.6,1,mañana,0,52.59
11.6,0.0,0.543,1.716,8.2,1,mañana,0,34.89
18.4,0.0,1.01,2.36,9.1,1,noche,0,22.45
22.9,0.0,1.45,1.916,12.3,1,tarde,1,52.59
14.7,0.0,1.398,1.021,7.6,1,noche,0,85.4
16.0,0.0,1.148,2.146,8.6,1,noche,0,46.78
11.3,0.0,0.325,1.441,11.3,1,noche,0,55.54
9.0,0.0,1.364,1.655,7.8,1,noche,0,38.6
22.0,0.0,2.089,1.642,9.8,1,tarde,1,30.71
28.4,0.0,0.834,0.855,24.3,1,tarde,1,20.53
15.4,0.0,1.116,1.149,10.7,1,noche,0,55.07
12.3,0.0,1.03,1.413,7.6,1,noche,0,61.52
9.9,0.0,1.164,1.689,7.9,1,noche,0,26.45
11.3,0.0,1.421,0.725,6.6,1,noche,0,35.95
34.5,4.5,2.916,2.847,16.4,0,noche,1,52.39
11.4,0.0,1.738,1.555,8.5,1,noche,0,60.7
23.1,0.0,1.339,2.671,12.1,1,noche,0,28.81
20.6,0.0,0.598,2.506,12.6,1,noche,0,40.05
15.8,0.0,1.283,1.911,7.1,1,noche,0,29.18
14.2,0.0,0.792,1.14,9.2,1,noche,0,63.56
17.9,0.0,2.339,1.676,7.3,1,tarde,1,45.8
15.4,0.0,1.829,1.839,9.4,1,noche,0,66.57
11.6,0.0,0.921,1.892,9.9,1,noche,0,38.6
11.3,0.0,0.868,0.759,7.9,1,mañana,0,18.74
17.8,0.0,0.731,0.405,12.8,1,mañana,0,28.61
9.6,0.0,1.092,1.367,6.4,1,noche,0,46.98
9.5,0.0,1.458,1.736,5.2,1,noche,0,58.63
17.8,0.0,1.109,1.804,12.3,1,mañana,0,71.01
15.5,0.0,1.364,1.963,11.7,1,mañana,0,78.32
16.5,0.0,1.547,1.773,7.3,1,mañana,0,15.01
24.8,0.0,1.449,2.661,15.2,1,noche,0,91.97
11.8,0.0,1.979,2.394,0.0,1,noche,0,64.92
14.2,0.0,1.591,1.034,6.5,1,noche,0,16.07
6.7,0.0,0.821,0.569,5.1,1,mañana,0,27.31
16.4,0.0,1.186,2.088,6.6,1,mañana,0,16.45
15.8,0.0,0.166,3.188,7.3,1,noche,0,28.73
16.5,0.0,0.882,1.864,8.3,1,noche,0,20.74
16.0,0.0,0.708,1.237,11.4,1,tarde,0,94.17
15.6,0.0,1.783,0.951,8.4,1,tarde,0,57.09
21.0,0.0,0.932,2.409,10.3,1,noche,1,58.09
18.9,0.0,1.928,1.958,7.7,1,noche,1,20.27
28.0,0.0,2.193,0.799,18.5,1,noche,1,22.94
27.4,0.0,1.35,1.582,18.5,1,noche,1,22.59
6.3,0.0,1.351,1.183,2.0,1,mañana,0,26.74
7.9,0.0,1.082,2.034,1.2,1,mañana,0,75.73
11.2,0.0,1.547,0.715,8.9,1,mañana,0,32.21
5.6,0.0,0.952,1.712,0.0,1,mañana,0,40.22
8.0,0.0,1.17,3.02,3.4,1,noche,0,32.74
18.6,0.0,1.273,1.821,10.1,1,mañana,0,15.12
13.6,0.0,0.783,0.938,9.1,1,mañana,0,62.8
23.7,0.0,3.844,1.081,8.2,1,noche,1,58.15
18.4,0.0,0.306,0.655,17.0,1,mañana,0,75.18
9.3,0.0,1.289,1.74,5.6,1,mañana,0,54.4
15.6,0.0,1.688,2.544,5.1,1,mañana,0,45.28
19.3,0.0,0.861,2.017,11.3,1,mañana,0,39.42
16.7,0.0,0.557,1.846,12.2,1,mañana,0,70.67
24.2,0.0,0.472,3.215,14.2,1,tarde,0,22.11
20.4,0.0,0.852,2.007,15.6,1,mañana,0,57.43
21.2,0.0,3.064,2.634,5.9,1,tarde,1,32.47
24.0,0.0,1.609,1.201,14.5,1,tarde,1,50.37
15.1,0.0,0.503,1.611,11.0,1,mañana,0,67.62
16.7,0.0,0.384,2.769,8.6,1,mañana,0,59.11
17.0,0.0,0.834,2.774,10.5,1,mañana,0,70.18
14.2,0.0,1.047,1.84,11.8,1,mañana,0,16.3
13.6,0.0,1.129,1.906,10.7,1,mañana,0,27.18
9.1,0.0,1.44,1.072,4.0,1,mañana,0,77.51
13.8,0.0,0.388,1.215,13.2,1,mañana,0,16.21
15.7,0.0,0.97,0.805,12.5,1,noche,0,44.83
16.4,0.0,0.423,2.367,8.5,1,noche,0,26.82
11.1,0.0,1.718,1.323,7.3,1,noche,0,48.36
8.3,0.0,1.024,1.894,3.7,1,tarde,0,49.71
15.1,0.0,0.647,1.53,10.8,1,tarde,0,77.92
13.3,0.0,0.986,2.205,7.9,1,noche,0,63.25
15.5,0.0,0.914,2.838,6.9,1,noche,0,82.96
19.3,0.0,1.366,3.108,10.6,1,noche,0,35.98
30.7,0.7,3.007,3.056,11.8,0,noche,1,82.21
21.2,0.0,3.042,1.199,6.7,1,noche,1,60.99
28.8,0.0,3.088,1.185,11.3,1,noche,1,54.17
29.9,0.0,2.883,0.907,16.2,1,tarde,1,87.69
22.6,0.0,2.135,1.385,11.0,1,tarde,1,23.18
29.7,0.0,1.334,0.908,20.8,1,tarde,1,40.12
36.4,6.4,2.463,2.758,20.7,0,tarde,1,74.22
18.1,0.0,2.529,2.746,1.4,1,tarde,1,52.91
12.7,0.0,1.206,0.376,9.7,1,noche,0,88.23
14.6,0.0,1.053,1.594,10.6,1,mañana,0,83.03
8.8,0.0,1.232,1.167,3.2,1,noche,0,73.54
19.7,0.0,1.434,1.401,8.5,1,noche,1,25.29
25.9,0.0,2.232,2.439,12.4,1,noche,1,62.35
21.7,0.0,0.486,2.406,17.4,1,tarde,0,46.39
5.9,0.0,0.614,0.524,7.1,1,tarde,0,48.93
18.5,0.0,0.878,2.583,10.8,1,tarde,0,28.19
19.2,0.0,1.354,2.254,8.1,1,tarde,0,63.03
18.5,0.0,3.678,0.139,3.2,1,noche,1,79.09
24.5,0.0,1.941,0.25,21.3,1,noche,1,60.18
8.1,0.0,1.325,2.731,1.2,1,tarde,0,16.93
27.8,0.0,2.132,2.305,14.0,1,noche,1,92.77
29.7,0.0,1.479,2.411,18.9,1,noche,1,52.72
20.1,0.0,0.532,1.793,13.3,1,noche,1,63.86
40.9,10.9,1.459,2.299,29.0,0,tarde,1,58.27
12.9,0.0,1.543,2.491,4.2,1,noche,0,37.05
20.5,0.0,1.201,2.45,14.9,1,noche,0,26.72
18.3,0.0,1.181,2.062,8.2,1,noche,0,27.71
15.6,0.0,0.54,2.361,7.5,1,mañana,0,78.2
13.5,0.0,1.462,1.602,7.7,1,tarde,0,78.41
8.0,0.0,0.813,1.541,4.4,1,tarde,0,42.91
9.8,0.0,1.09,1.977,6.1,1,tarde,0,32.07
12.3,0.0,1.089,1.432,7.3,1,noche,0,74.92
11.8,0.0,1.403,2.309,4.5,1,noche,0,94.58
28.1,0.0,2.314,0.708,19.2,1,tarde,1,58.6
38.2,8.2,2.925,2.505,18.6,0,noche,1,31.0
30.9,0.9,2.249,1.633,17.2,0,tarde,1,18.44
24.5,0.0,2.107,1.463,12.2,1,tarde,1,89.99
22.2,0.0,1.724,1.302,14.7,1,noche,1,89.06
11.8,0.0,1.465,1.189,5.0,1,mañana,0,85.91
15.8,0.0,0.765,1.355,9.2,1,mañana,0,32.5
15.0,0.0,0.719,2.65,8.6,1,mañana,0,28.25
11.2,0.0,1.139,1.954,5.8,1,tarde,0,92.56
15.8,0.0,1.281,2.162,7.1,1,tarde,0,77.91
19.2,0.0,0.226,1.695,14.1,1,noche,0,39.61
18.7,0.0,3.129,2.086,2.0,1,tarde,1,24.85
7.8,0.0,0.642,0.701,6.7,1,tarde,0,92.65
15.7,0.0,1.344,1.047,8.1,1,tarde,0,46.73
15.7,0.0,1.511,2.101,9.3,1,noche,0,17.04
12.6,0.0,0.936,1.904,11.8,1,noche,0,23.29
